declarationRequestNumber,region,stateAbbreviation,state,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id
2020,4,GA,Georgia                       ,0,2002-02-21T00:00:00.000Z,Emergency,GA-Unburied and Uncremated Bodies,Other,2002-02-15T00:00:00.000Z,,Turndown,2002-02-26T00:00:00.000Z,0,0,1,0,2002021901,2002-02-17T00:00:00.000Z,12d41690-7ce1-4b58-926f-508a5d240a97
2027,1,ME,Maine                         ,0,2002-04-09T00:00:00.000Z,Major Disaster,Drought,Drought,2001-06-01T00:00:00.000Z,,Turndown,2002-07-19T00:00:00.000Z,0,1,1,1,2002032702,2002-06-01T00:00:00.000Z,d6a9b8c1-6142-49ee-84da-06f14ec19431
2029,5,IL,Illinois                      ,0,2002-04-25T00:00:00.000Z,Major Disaster,Il-Tornado-4 21 02,Tornado,2002-04-21T00:00:00.000Z,2002-04-21T00:00:00.000Z,Turndown,2002-05-07T00:00:00.000Z,0,1,1,1,2002042201,2002-04-21T00:00:00.000Z,9ca2c5ba-a965-4158-aa9d-82f40f70a540
2052,6,NM,New Mexico                    ,0,2002-06-03T00:00:00.000Z,Emergency,NM-Wildfire Threat-3-24-02,Fire,2002-03-24T00:00:00.000Z,2002-07-19T00:00:00.000Z,Turndown,2002-06-17T00:00:00.000Z,0,0,1,0,2002052901,2002-03-24T00:00:00.000Z,25b2d823-cf79-4cd3-8cd4-97755d8df2f7
2084,5,IL,Illinois                      ,0,2002-07-01T00:00:00.000Z,Major Disaster,IL-Flooding-06/04-05/02,Flood,2002-06-03T00:00:00.000Z,2002-06-05T00:00:00.000Z,Turndown,2002-07-19T00:00:00.000Z,0,0,1,1,2002061902,2002-06-04T00:00:00.000Z,d182f21b-917a-467e-baa8-9ccd83dc061a
2094,7,NE,Nebraska                      ,0,2002-07-15T00:00:00.000Z,Major Disaster,Nebraska severe storms,Severe Storm,2002-07-06T00:00:00.000Z,2002-07-06T00:00:00.000Z,Turndown,2002-07-29T00:00:00.000Z,0,1,0,1,2002070601,2002-07-06T00:00:00.000Z,059c02f3-be35-40bb-b4e1-7c720dc360b9
2106,8,ND,North Dakota                  ,0,2002-08-01T00:00:00.000Z,Emergency,ND - Wildfire Threat,Fire,2002-02-22T00:00:00.000Z,,Turndown,2002-09-05T00:00:00.000Z,0,0,1,0,2002080102,2002-02-22T00:00:00.000Z,fefe0fb4-652b-410d-929d-de03c4b6c0bd
2107,6,LA,Louisiana                     ,0,2002-08-05T00:00:00.000Z,Emergency,LA-West Nile Virus-8-5-02,Other,2002-06-01T00:00:00.000Z,,Turndown,2003-04-25T00:00:00.000Z,0,0,1,0,2002080601,2002-06-01T00:00:00.000Z,c87c4cbd-79c2-4e60-b3ad-cec8bc0cca10
2119,4,MS,Mississippi                   ,0,2002-08-16T00:00:00.000Z,Emergency,MS - West Nile Virus 8-16-02,Other,2002-07-19T00:00:00.000Z,,Turndown,2003-04-25T00:00:00.000Z,0,0,1,0,2002081601,2002-07-19T00:00:00.000Z,a98ac6e8-8b92-482d-a003-4015f7237d80
2121,2,NJ,New Jersey                    ,0,2002-08-14T00:00:00.000Z,Emergency,NJ-Severe Storm Power Outage 8-02-02,Severe Storm,2002-08-02T00:00:00.000Z,,Turndown,2003-01-08T00:00:00.000Z,0,0,1,0,2002080901,2002-08-02T00:00:00.000Z,cd434b7d-98de-4146-a378-cf6fbea61034
2122,9,AZ,Arizona                       ,0,2002-08-06T00:00:00.000Z,Major Disaster,Monsoon 7-09-2002,Other,2002-07-09T00:00:00.000Z,2002-07-15T00:00:00.000Z,Turndown,2002-08-30T00:00:00.000Z,0,1,1,1,2002071703,2002-07-09T00:00:00.000Z,a84bde59-c945-4958-b1dc-375fb7f5da11
2124,8,WY,Wyoming                       ,0,2002-08-30T00:00:00.000Z,Major Disaster,WY Flooding 08/27/02,Flood,2002-08-27T00:00:00.000Z,2002-08-28T00:00:00.000Z,Turndown,2002-09-18T00:00:00.000Z,0,0,1,1,2002082702,2002-08-27T00:00:00.000Z,366e38b9-aff4-449f-acdd-93c3f7054f4c
2132,3,VA,Virginia                      ,0,2002-08-23T00:00:00.000Z,Major Disaster,VA - Orange County Drought,Drought,2002-08-26T00:00:00.000Z,,Turndown,2003-01-21T00:00:00.000Z,0,0,1,0,2002092301,2002-08-26T00:00:00.000Z,18bff922-97d0-4bd8-9b13-948c276b6ebe
2140,4,FL,Florida                       ,0,2002-10-08T00:00:00.000Z,Emergency,Hurricane Isidore-9-23-02,Hurricane,2002-09-26T00:00:00.000Z,2002-09-27T00:00:00.000Z,Turndown,2002-11-18T00:00:00.000Z,0,0,1,0,2002092302,2002-09-21T00:00:00.000Z,229e2373-e6ff-4fc3-951a-777305a8d03b
2154,1,CT,Connecticut                   ,0,2002-12-11T00:00:00.000Z,Major Disaster,"CT-Winter Storm -Freezing rain, sleet & snow",Severe Ice Storm,2002-11-16T00:00:00.000Z,2002-11-18T00:00:00.000Z,Turndown,2003-01-08T00:00:00.000Z,0,0,1,1,2002112001,2002-11-16T00:00:00.000Z,302a54dd-4eb2-4878-aceb-cf3182d0b07b
